timestamp,sentiment
1538006767,NEUTRAL
1537952401,NEUTRAL
1537836963,NEUTRAL
1537835075,NEGATIVE
1537818201,POSITIVE
1537984819,NEUTRAL
1537754865,NEUTRAL
1537667972,NEUTRAL
1537634370,NEUTRAL
1537496349,NEGATIVE
1537489085,NEGATIVE
1537380015,NEUTRAL
1537381801,NEUTRAL
1537376406,NEUTRAL
1537376402,NEUTRAL
1537374601,NEUTRAL
1537319776,NEGATIVE
1537237593,NEGATIVE
1537752097,MIXED
1537221078,NEUTRAL
1537347601,NEUTRAL
1537202304,NEGATIVE
1537202263,NEGATIVE
1537135202,NEUTRAL
1537023627,NEUTRAL
1537091693,NEGATIVE
1536893485,NEUTRAL
1536889433,NEUTRAL
1536784650,NEGATIVE
1536731839,NEUTRAL
1536624681,NEGATIVE
1536701075,POSITIVE
1536588679,NEGATIVE
1536557968,NEGATIVE
1536546518,NEUTRAL
1536545325,NEUTRAL
1536544558,NEUTRAL
1536540957,NEUTRAL
1536540175,NEUTRAL
1536535642,NEUTRAL
1536524455,NEUTRAL
1536514837,NEUTRAL
1536345670,NEGATIVE
1536513762,NEGATIVE
1536251489,NEUTRAL
1535926403,NEUTRAL
1535680620,NEUTRAL
1535679896,NEGATIVE
1535671941,NEUTRAL
1535663541,NEUTRAL
1535663384,NEUTRAL
1535656493,NEUTRAL
1535575928,NEUTRAL
1538081009,NEUTRAL
1538071934,NEGATIVE
1538054802,NEGATIVE
1538052073,NEGATIVE
1538048006,NEUTRAL
1538046231,NEUTRAL
1538037025,NEUTRAL
1538036873,NEGATIVE
1538035971,NEUTRAL
1538035877,NEUTRAL
1538030722,NEUTRAL
1537989517,NEGATIVE
1537978947,NEGATIVE
1537957431,NEUTRAL
1537925059,NEUTRAL
1537924975,NEUTRAL
1537924711,NEUTRAL
1537924067,NEUTRAL
1537923747,POSITIVE
1537923610,POSITIVE
1537921200,NEUTRAL
1537901883,NEUTRAL
1537744364,POSITIVE
1537768195,NEUTRAL
1537740629,NEUTRAL
1537736100,NEGATIVE
1537735906,NEUTRAL
1537735528,NEUTRAL
1537735711,NEUTRAL
1537734073,NEUTRAL
1537726139,NEUTRAL
1537709989,NEUTRAL
1537709864,NEUTRAL
1537709649,NEGATIVE
1537709598,NEUTRAL
1537709277,NEUTRAL
1537709246,NEUTRAL
1537658304,NEUTRAL
1537656752,NEUTRAL
1537656239,NEUTRAL
1537656324,NEUTRAL
1537656175,NEUTRAL
1537649607,NEUTRAL
1537551634,NEUTRAL
1537494807,NEUTRAL
1537503451,NEUTRAL
1537470989,NEUTRAL
1537459887,NEUTRAL
1537394615,NEUTRAL
1537385892,NEUTRAL
1537296513,NEUTRAL
1537269439,NEUTRAL
1537219459,NEUTRAL
1537216815,NEUTRAL
1537219125,NEGATIVE
1537210393,NEUTRAL
1537196375,NEUTRAL
1537194442,NEUTRAL
1537153058,NEUTRAL
1537112592,NEGATIVE
1537102633,NEUTRAL
1537071719,NEUTRAL
1537105609,NEGATIVE
1537058940,NEUTRAL
1537047514,NEUTRAL
1537018446,NEUTRAL
1537016592,NEUTRAL
1536981790,NEGATIVE
1536951978,NEUTRAL
1536942667,NEUTRAL
1536898565,NEUTRAL
1536896738,NEUTRAL
1536879658,NEUTRAL
1536843323,NEGATIVE
1536842602,NEUTRAL
1536840959,NEUTRAL
1536836464,NEUTRAL
1536760380,POSITIVE
1536748457,POSITIVE
1536748197,POSITIVE
1536747036,POSITIVE
1536742199,NEUTRAL
1536718261,NEUTRAL
1536714017,NEUTRAL
1536712440,NEUTRAL
1536700771,NEGATIVE
1536666778,NEUTRAL
1536712052,NEUTRAL
1536644632,NEUTRAL
1536633060,NEUTRAL
1536634857,NEUTRAL
1536632217,NEUTRAL
1536629754,NEUTRAL
1536628566,NEUTRAL
1536624940,NEUTRAL
1536622492,NEUTRAL
1536628252,NEUTRAL
1536620445,NEUTRAL
1536617846,NEUTRAL
1536618813,NEUTRAL
1536613025,NEUTRAL
1536612901,NEUTRAL
1536607424,NEUTRAL
1536602425,NEUTRAL
1536602423,NEUTRAL
1536602189,NEUTRAL
1536601960,NEUTRAL
1536598622,NEUTRAL
1536591141,NEUTRAL
1536591012,NEUTRAL
1536589330,NEGATIVE
1536588600,NEUTRAL
1536587869,POSITIVE
1536583363,NEUTRAL
1536587629,NEGATIVE
1536581184,NEUTRAL
1536578720,NEUTRAL
1536580130,NEUTRAL
1536578251,NEUTRAL
1536577956,NEUTRAL
1536576680,NEUTRAL
1536574238,NEGATIVE
1536573714,NEGATIVE
1536567691,NEUTRAL
1536567078,NEUTRAL
1536565965,NEGATIVE
1536562479,NEUTRAL
1536562241,NEUTRAL
1536561739,NEUTRAL
1536553584,NEUTRAL
1536553559,NEUTRAL
1536553545,NEUTRAL
1536553570,NEUTRAL
1536553536,NEGATIVE
1536553523,NEUTRAL
1536553506,NEUTRAL
1536553515,NEUTRAL
1536553495,NEUTRAL
1536553485,NEUTRAL
1536553466,NEGATIVE
1536552988,NEUTRAL
1536552194,NEGATIVE
1536549871,NEUTRAL
1536549627,NEUTRAL
1536549626,NEUTRAL
1536549599,NEUTRAL
1536549219,NEGATIVE
1536547418,NEGATIVE
1536547057,NEUTRAL
1536546833,NEUTRAL
1536546733,NEUTRAL
1536546463,NEUTRAL
1536546497,NEUTRAL
1536546112,NEUTRAL
1536545463,NEUTRAL
1536544351,NEUTRAL
1536544754,NEUTRAL
1536543399,NEUTRAL
1536542229,NEUTRAL
1536542051,NEUTRAL
1536542524,NEUTRAL
1536541620,NEUTRAL
1536541855,NEUTRAL
1536541531,NEUTRAL
1536541363,NEUTRAL
1536541322,NEGATIVE
1536541078,NEUTRAL
1536541011,NEUTRAL
1536540821,NEGATIVE
1536540782,NEUTRAL
1536540653,NEUTRAL
1536540694,NEUTRAL
1536540554,NEUTRAL
1536540389,NEUTRAL
1536536944,NEGATIVE
1536536622,POSITIVE
1536517558,NEUTRAL
1536451901,NEUTRAL
1536451823,NEUTRAL
1536437751,NEUTRAL
1536443944,NEUTRAL
1536425070,NEUTRAL
1536424861,NEUTRAL
1536393654,NEUTRAL
1536335939,NEUTRAL
1536270534,NEUTRAL
1536216677,NEUTRAL
1536201325,NEUTRAL
1536206440,NEUTRAL
1536201062,NEUTRAL
1536200209,NEUTRAL
1536197157,NEUTRAL
1536181108,NEUTRAL
1536150430,NEUTRAL
1536133912,NEUTRAL
1536133897,NEUTRAL
1536129915,NEUTRAL
1536129063,NEUTRAL
1536111263,NEUTRAL
1536109812,NEGATIVE
1536097229,NEUTRAL
1535975245,NEUTRAL
1535945464,NEUTRAL
1535940940,NEUTRAL
1535893865,NEUTRAL
1535847955,NEUTRAL
1535830460,NEUTRAL
1535829979,NEUTRAL
1535739368,NEUTRAL
1535816935,NEUTRAL
1535736641,NEUTRAL
1535726999,NEUTRAL
1535714476,NEUTRAL
1535678323,NEUTRAL
1535662531,NEUTRAL
1535651378,NEUTRAL
1535643061,NEUTRAL
1535593233,NEUTRAL
1538165806,NEUTRAL
1538165849,NEUTRAL
1538165792,NEUTRAL
1538165759,NEGATIVE
1538165752,NEGATIVE
1538165571,NEUTRAL
1538165624,NEUTRAL
1538165487,NEUTRAL
1538165072,NEUTRAL
1538164727,NEUTRAL
1538164491,NEUTRAL
1538164341,NEUTRAL
1538163981,NEUTRAL
1538164488,NEUTRAL
1538163941,NEUTRAL
1538163875,NEUTRAL
1538163806,NEUTRAL
1538163826,NEUTRAL
1538163632,NEUTRAL
1538163738,POSITIVE
1538163516,NEUTRAL
1538163434,NEUTRAL
1538163385,NEUTRAL
1538163270,NEUTRAL
1538163118,NEUTRAL
1538163166,NEUTRAL
1538162822,NEUTRAL
1538162533,NEUTRAL
1538162460,NEUTRAL
1538162363,NEUTRAL
1538162340,NEGATIVE
1538162315,NEUTRAL
1538162305,NEUTRAL
1538161695,NEUTRAL
1538162165,NEUTRAL
1538161666,NEUTRAL
1538161662,NEUTRAL
1538161660,NEUTRAL
1538161129,NEUTRAL
1538161087,NEGATIVE
1538161053,NEUTRAL
1538160808,NEUTRAL
1538160506,NEUTRAL
1538160372,NEUTRAL
1538160254,NEGATIVE
1538160131,NEGATIVE
1538160221,NEUTRAL
1538159961,NEGATIVE
1538159347,NEUTRAL
1538159157,NEUTRAL
1538159618,NEGATIVE
1538159127,NEUTRAL
1538159133,POSITIVE
1538158082,NEGATIVE
1538157965,NEUTRAL
1538158054,POSITIVE
1538157837,NEUTRAL
1538157689,NEUTRAL
1538157601,NEUTRAL
1538157611,NEUTRAL
1538157518,NEUTRAL
1538157168,NEUTRAL
1538156816,NEUTRAL
1538156967,NEGATIVE
1538156579,NEUTRAL
1538156428,NEUTRAL
1538155900,NEGATIVE
1538155839,POSITIVE
1538155798,NEUTRAL
1538155725,NEUTRAL
1538155717,NEUTRAL
1538155493,NEUTRAL
1538155432,NEUTRAL
1538155344,NEUTRAL
1538154982,NEGATIVE
1538154819,POSITIVE
1538154548,NEUTRAL
1538154904,POSITIVE
1538154300,NEUTRAL
1538154000,NEUTRAL
1538153422,NEUTRAL
1538153894,NEUTRAL
1538152864,NEUTRAL
1538153049,NEUTRAL
1538152787,NEUTRAL
1538152659,NEUTRAL
1538152260,NEUTRAL
1538152477,NEUTRAL
1538152259,NEUTRAL
1538152253,NEUTRAL
1538152244,NEUTRAL
1538152202,NEUTRAL
1538152162,NEUTRAL
1538152200,NEUTRAL
1538152142,NEUTRAL
1538152137,NEUTRAL
1538151413,NEUTRAL
1538151376,NEUTRAL
1538151389,NEUTRAL
1538151315,NEUTRAL
1538151308,NEUTRAL
1538151303,NEUTRAL
1538151236,NEUTRAL
1538150977,NEUTRAL
1538151208,NEUTRAL
1538150949,NEUTRAL
1538150761,NEUTRAL
1538150755,NEGATIVE
1538150393,NEUTRAL
1538150533,NEUTRAL
1538150354,NEGATIVE
1538150349,NEUTRAL
1538150337,NEUTRAL
1538150329,NEGATIVE
1538149991,NEUTRAL
1538149990,NEUTRAL
1538149914,NEGATIVE
1538149897,NEGATIVE
1538149629,NEUTRAL
1538149425,NEUTRAL
1538149199,NEUTRAL
1538149240,NEUTRAL
1538149132,POSITIVE
1538148757,NEUTRAL
1538149061,NEUTRAL
1538148554,NEUTRAL
1538148362,NEGATIVE
1538148406,NEGATIVE
1538148276,NEUTRAL
1538148077,NEGATIVE
1538147702,NEGATIVE
1538147872,NEUTRAL
1538147516,NEGATIVE
1538147600,NEUTRAL
1538146827,NEUTRAL
1538147464,NEUTRAL
1538146790,NEUTRAL
1538146675,NEUTRAL
1538146660,NEUTRAL
1538146148,NEUTRAL
1538145665,NEUTRAL
1538145308,NEUTRAL
1538144417,NEUTRAL
1538143447,NEUTRAL
1538144171,NEUTRAL
1538143298,NEUTRAL
1538143379,NEUTRAL
1538142944,NEUTRAL
1538142900,NEUTRAL
1538142888,NEUTRAL
1538142862,NEUTRAL
1538142706,NEUTRAL
1538142542,POSITIVE
1538142154,NEUTRAL
1538142136,NEUTRAL
1538142075,NEUTRAL
1538142046,NEGATIVE
1538141919,POSITIVE
1538141602,NEUTRAL
1538141588,POSITIVE
1538141340,NEGATIVE
1538141537,NEGATIVE
1538141288,NEUTRAL
1538141324,NEUTRAL
1538140987,NEUTRAL
1538141029,NEGATIVE
1538140949,NEUTRAL
1538140943,NEUTRAL
1538140942,NEUTRAL
1538140891,NEGATIVE
1538140929,NEUTRAL
1538140845,NEGATIVE
1538140851,NEGATIVE
1538140838,NEUTRAL
1538140829,NEUTRAL
1538140641,NEUTRAL
1538140226,NEUTRAL
1538140143,NEGATIVE
1538139853,NEUTRAL
1538139752,NEUTRAL
1538139650,NEUTRAL
1538139289,NEUTRAL
1538139191,NEUTRAL
1538139188,POSITIVE
1538138956,NEUTRAL
1538138658,NEUTRAL
1538137777,NEUTRAL
1538137521,NEUTRAL
1538137146,NEUTRAL
1538137397,NEUTRAL
1538136905,NEGATIVE
1538137025,NEGATIVE
1538136752,NEUTRAL
1538136575,NEUTRAL
1538136562,POSITIVE
1538136522,NEUTRAL
1538136505,NEUTRAL
1538136213,NEUTRAL
1538136113,NEGATIVE
1538135344,NEGATIVE
1538134504,NEUTRAL
1538134465,NEUTRAL
1538134066,NEUTRAL
1538133923,NEUTRAL
1538133154,NEUTRAL
1538132631,NEUTRAL
1538132198,NEUTRAL
1538131207,NEUTRAL
1538131294,NEUTRAL
1538131180,NEUTRAL
1538130515,NEUTRAL
1538129685,NEUTRAL
1538129012,NEUTRAL
1538129515,NEGATIVE
1538127660,NEUTRAL
1538127417,NEUTRAL
1538127223,NEUTRAL
1538127145,NEUTRAL
1538127009,NEGATIVE
1538127135,NEUTRAL
1538126903,NEUTRAL
1538126881,NEGATIVE
1538126803,NEUTRAL
1538126680,NEUTRAL
1538126594,NEUTRAL
1538126627,NEUTRAL
1538126540,NEUTRAL
1538126492,NEUTRAL
1538126443,NEUTRAL
1538126321,NEUTRAL
1538126265,NEGATIVE
1538125945,NEUTRAL
1538125593,NEUTRAL
1538125614,NEUTRAL
1538125451,NEUTRAL
1538125224,NEGATIVE
1538125404,NEUTRAL
1538124576,NEUTRAL
1538125170,NEUTRAL
1538124561,NEUTRAL
1538124005,NEUTRAL
1538124075,NEUTRAL
1538123839,NEUTRAL
1538123545,NEUTRAL
1538123517,NEUTRAL
1538123309,NEUTRAL
1538123421,NEUTRAL
1538123025,NEUTRAL
1538122895,NEUTRAL
1538122851,NEUTRAL
1538122866,NEUTRAL
1538122826,NEGATIVE
1538122511,NEUTRAL
1538122241,NEUTRAL
1538122299,NEUTRAL
1538122202,POSITIVE
1538122121,NEUTRAL
1538122040,NEUTRAL
1538121974,NEUTRAL
1538121846,NEGATIVE
1538121649,NEUTRAL
1538121450,NEUTRAL
1538121408,NEUTRAL
1538121279,NEGATIVE
1538121133,NEUTRAL
1538121088,NEUTRAL
1538120951,NEUTRAL
1538121117,NEUTRAL
1538120942,NEUTRAL
1538120921,NEUTRAL
1538120864,NEUTRAL
1538120847,NEUTRAL
1538120708,NEUTRAL
1538120694,NEUTRAL
1538120546,POSITIVE
1538120521,NEUTRAL
1538120439,NEUTRAL
1538120481,NEUTRAL
1538120202,NEUTRAL
1538119999,NEUTRAL
1538119980,NEGATIVE
1538119405,NEUTRAL
1538119202,POSITIVE
1538119045,NEUTRAL
1538118916,NEUTRAL
1538118616,NEUTRAL
1538118050,NEUTRAL
1538117887,NEUTRAL
1538117539,NEGATIVE
1538117445,POSITIVE
1538117405,NEUTRAL
1538116429,NEGATIVE
1538116093,NEUTRAL
1538115802,NEGATIVE
1538115421,NEUTRAL
1538115245,NEUTRAL
1538115319,NEUTRAL
1538115195,NEUTRAL
1538115047,NEGATIVE
1538114870,NEUTRAL
1538114740,NEUTRAL
1538114635,NEGATIVE
1538114557,NEUTRAL
1538114548,NEUTRAL
1538113872,NEUTRAL
1538114452,NEUTRAL
1538113730,NEUTRAL
1538113581,NEUTRAL
1538113531,NEGATIVE
1538113325,NEUTRAL
1538113556,NEUTRAL
1538113307,NEUTRAL
1538113219,NEUTRAL
1538113210,NEUTRAL
1538112733,NEUTRAL
1538112861,NEUTRAL
1538112707,NEUTRAL
1538112588,NEUTRAL
1538112654,NEUTRAL
1538112534,NEUTRAL
1538112249,NEUTRAL
1538112201,NEUTRAL
1538112000,NEUTRAL
1538112034,NEUTRAL
1538111993,NEUTRAL
1538111945,NEUTRAL
1538111982,NEGATIVE
1538111928,NEUTRAL
1538111586,NEUTRAL
1538111920,NEUTRAL
1538111475,NEUTRAL
1538111372,NEUTRAL
1538111467,NEUTRAL
1538111337,NEUTRAL
1538111149,NEUTRAL
1538110891,NEGATIVE
1538110800,NEUTRAL
1538110921,NEUTRAL
1538110865,NEUTRAL
1538110540,NEUTRAL
1538110595,NEUTRAL
1538110291,NEUTRAL
1538109882,NEUTRAL
1538109982,NEGATIVE
1538110064,NEGATIVE
1538109810,NEUTRAL
1538109620,POSITIVE
1538109591,NEUTRAL
1538109500,NEGATIVE
1538109482,NEUTRAL
1538109397,NEGATIVE
1538109383,NEGATIVE
1538109378,NEGATIVE
1538109349,NEUTRAL
1538109385,NEUTRAL
1538109297,NEUTRAL
1538109285,NEUTRAL
1538109250,NEUTRAL
1538109245,NEGATIVE
1538109192,NEUTRAL
1538109186,POSITIVE
1538109092,NEUTRAL
1538109078,NEUTRAL
1538109043,NEUTRAL
1538108970,NEUTRAL
1538108931,NEUTRAL
1538108900,NEGATIVE
1538108800,NEUTRAL
1538108636,NEUTRAL
1538108629,NEGATIVE
1538108595,NEUTRAL
1538108533,NEUTRAL
1538108479,NEUTRAL
1538108452,NEUTRAL
1538108442,NEUTRAL
1538108349,NEUTRAL
1538108314,NEUTRAL
1538108287,NEUTRAL
1538108258,NEUTRAL
1538108161,POSITIVE
1538108055,NEGATIVE
1538107923,NEUTRAL
1538107911,NEUTRAL
1538107876,NEUTRAL
1538107743,NEGATIVE
1538107653,NEUTRAL
1538107602,NEUTRAL
1538107538,NEUTRAL
1538107598,NEUTRAL
1538107532,NEUTRAL
1538107422,NEUTRAL
1538107418,NEUTRAL
1538107339,NEUTRAL
1538106825,NEUTRAL
1538106819,NEGATIVE
1538106689,NEUTRAL
1538106633,NEUTRAL
1538106579,POSITIVE
1538106566,POSITIVE
1538106448,NEUTRAL
1538106239,NEUTRAL
1538106109,NEGATIVE
1538106059,NEUTRAL
1538105734,NEUTRAL
1538105944,NEUTRAL
1538105528,NEUTRAL
1538105350,POSITIVE
1538105384,NEUTRAL
1538105320,NEUTRAL
1538105260,NEGATIVE
1538105108,NEUTRAL
1538105101,NEGATIVE
1538105054,NEUTRAL
1538105010,NEUTRAL
1538104945,NEUTRAL
1538104770,NEUTRAL
1538104493,NEUTRAL
1538104417,NEUTRAL
1538104337,NEUTRAL
1538103944,NEUTRAL
1538104311,NEUTRAL
1538103785,NEGATIVE
1538103545,POSITIVE
1538103570,NEGATIVE
1538103400,NEUTRAL
1538103331,NEUTRAL
1538103002,NEUTRAL
1538102928,NEUTRAL
1538102887,NEUTRAL
1538102888,NEUTRAL
1538102872,NEUTRAL
1538102636,NEUTRAL
1538102515,NEUTRAL
1538102275,NEUTRAL
1538102790,NEUTRAL
1538102386,NEUTRAL
1538101993,NEUTRAL
1538101869,NEUTRAL
1538101727,POSITIVE
1538101792,NEUTRAL
1538101646,NEUTRAL
1538101645,NEUTRAL
1538101638,POSITIVE
1538101560,NEUTRAL
1538101557,POSITIVE
1538101631,NEUTRAL
1538101458,POSITIVE
1538101401,NEUTRAL
1538101350,NEUTRAL
1538101327,NEUTRAL
1538101314,NEUTRAL
1538101193,NEGATIVE
1538101309,NEUTRAL
1538101039,NEUTRAL
1538101108,NEUTRAL
1538100920,NEUTRAL
1538101011,NEGATIVE
1538100837,NEUTRAL
1538100775,POSITIVE
1538100782,POSITIVE
1538100746,POSITIVE
1538100444,NEUTRAL
1538100675,MIXED
1538100423,NEUTRAL
1538100338,NEUTRAL
1538100288,NEUTRAL
1538100199,NEUTRAL
1538100180,NEGATIVE
1538100137,NEUTRAL
1538099957,NEGATIVE
1538099907,NEUTRAL
1538099623,NEUTRAL
1538099880,NEUTRAL
1538099471,NEUTRAL
1538099464,POSITIVE
1538099397,NEUTRAL
1538099328,NEUTRAL
1538099290,NEUTRAL
1538099349,NEUTRAL
1538099257,NEUTRAL
1538099200,NEGATIVE
1538099182,NEUTRAL
1538099177,NEUTRAL
1538099165,NEGATIVE
1538099117,NEUTRAL
1538099015,NEUTRAL
1538098999,NEUTRAL
1538098861,NEUTRAL
1538098855,NEGATIVE
1538098823,NEUTRAL
1538098812,NEUTRAL
1538098776,NEGATIVE
1538098505,NEGATIVE
1538098379,NEUTRAL
1538098361,NEUTRAL
1538098158,NEUTRAL
1538098119,NEUTRAL
1538098016,NEGATIVE
1538098116,NEUTRAL
